Energy	ln(density of states)
-12832	912.129625	3585.451822
-12828	912.940004	3584.841561
-12824	913.776689	3584.250051
-12820	914.605302	3583.693504
-12816	915.430467	3582.940696
-12812	916.242433	3582.278443
-12808	917.079195	3581.638325
-12804	917.872896	3580.976478
-12800	918.706209	3580.366913
-12796	919.532670	3579.773334
-12792	920.355974	3579.015075
-12788	921.209764	3578.488878
-12784	921.997697	3577.794525
-12780	922.821870	3577.104647
-12776	923.643724	3576.495886
-12772	924.498308	3575.898660
-12768	925.283311	3575.224048
-12764	926.100267	3574.669675
-12760	926.948503	3574.008786
-12756	927.754671	3573.334926
-12752	928.568910	3572.761441
-12748	929.391527	3572.103659
-12744	930.220323	3571.361223
-12740	931.031892	3570.696622
-12736	931.854249	3570.124498
-12732	932.639406	3569.460173
-12728	933.477190	3568.810831
-12724	934.293397	3568.133073
-12720	935.099184	3567.643479
-12716	935.901201	3566.801580
-12712	936.740266	3566.177941
-12708	937.546587	3565.510008
-12704	938.377000	3564.809141
-12700	939.186052	3564.211400
-12696	939.981737	3563.609842
-12692	940.816194	3562.961083
-12688	941.635896	3562.246946
-12684	942.426607	3561.655369
-12680	943.271486	3561.012775
